Entry	Mass	Gene Names (ordered locus)	Subunit structure	Subcellular location [CC]
P00550	67972	b3599 JW3573	SUBUNIT: Homodimer. {ECO:0000269|PubMed:3322385}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|PROSITE-ProRule:PRU00427, ECO:0000269|PubMed:15919996, ECO:0000305|PubMed:6309813}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00427, ECO:0000269|PubMed:15919996, ECO:0000305|PubMed:368051}.
P00561	89120	b0002 JW0001	SUBUNIT: Homotetramer.	
P00562	88888	b3940 JW3911	SUBUNIT: Homotetramer.	
P00579	70263	b3067 JW3039	SUBUNIT: Interacts transiently with the RNA polymerase catalytic core formed by RpoA, RpoB, RpoC and RpoZ (2 alpha, 1 beta, 1 beta' and 1 omega subunit) to form the RNA polymerase holoenzyme that can initiate transcription. Identified in a complex containing RpoD, the RNA polymerase subunits RpoA, RpoB and RpoZ, CRP and DNA. Interacts with Rsd; this prevents interaction with the RNA polymerase catalytic core and with promoter DNA, and as a consequence, promotes transcription from promoters that require alternative sigma factors. Interacts with phage T4 AsiA; this interferes with binding to DNA and to the RNA polymerase. {ECO:0000255|HAMAP-Rule:MF_00963, ECO:0000269|PubMed:15257291, ECO:0000269|PubMed:17681541, ECO:0000269|PubMed:19903881, ECO:0000269|PubMed:21829166, ECO:0000269|PubMed:23389035, ECO:0000269|PubMed:24843001}.; SUBUNIT: (Microbial infection) Interacts with Escherichia phage lambda antitermination protein Q. {ECO:0000269|PubMed:24440517}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00963}.
P00582	103118	b3863 JW3835	SUBUNIT: Single-chain monomer with multiple functions.	
P00634	49439	b0383 JW0374	SUBUNIT: Isozymes 1 and 3 are a dimer of identical chains, isozyme 2 is a dimer of heterogeneous chains, one of each of the subunits from isozymes 1 and 3.	SUBCELLULAR LOCATION: Periplasm.
P00722	116483	b0344 JW0335	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:11045615, ECO:0000269|PubMed:11732897, ECO:0000269|PubMed:14621996, ECO:0000269|PubMed:8008071}.	
P00803	35960	b2568 JW2552		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:21778229}; Multi-pass membrane protein {ECO:0000269|PubMed:21778229}.
P00804	18156	b0027 JW0025		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00161, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:1894646, ECO:0000269|PubMed:6368552}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00161, ECO:0000269|PubMed:1894646, ECO:0000269|PubMed:6368552}.
P00805	36851	b2957 JW2924	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:12595697, ECO:0000269|PubMed:1906013, ECO:0000269|PubMed:4561256, ECO:0000269|PubMed:8434007, ECO:0000269|PubMed:8706862}.	SUBCELLULAR LOCATION: Periplasm.
P00811	41556	b4150 JW4111	SUBUNIT: Monomer. {ECO:0000269|PubMed:11478888}.	SUBCELLULAR LOCATION: Periplasm.
P00861	46177	b2838 JW2806		
P00864	99063	b3956 JW3928	SUBUNIT: Homotetramer.	
P00893	62984	b0077 JW0076	SUBUNIT: Dimer of large and small chains.	
P00894	17977	b0078 JW0077	SUBUNIT: Dimer of large and small chains.	
P00903	20772	b3360 JW3323	SUBUNIT: Monomer. Heterodimer consisting of two non-identical subunits: a glutamine amidotransferase subunit (PabA) and a aminodeoxychorismate synthase subunit (PabB). {ECO:0000269|PubMed:8679677}.	
P00904	56870	b1263 JW1255	SUBUNIT: Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE). {ECO:0000250}.	
P00914	53667	b0708 JW0698	SUBUNIT: Monomer. {ECO:0000269|PubMed:7604260}.	
P00926	47901	b2366 JW2363	SUBUNIT: Monomer. {ECO:0000269|PubMed:22197591}.	
P00935	41550	b3939 JW3910	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:2405903, ECO:0000269|PubMed:9843488}.	SUBCELLULAR LOCATION: Cytoplasm.
P00936	97586	b3806 JW3778		SUBCELLULAR LOCATION: Cytoplasm.
P00946	42850	b1613 JW1605		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P00956	104297	b0026 JW0024	SUBUNIT: Monomer.	SUBCELLULAR LOCATION: Cytoplasm.
P00957	96032	b2697 JW2667	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:7005211}.	SUBCELLULAR LOCATION: Cytoplasm.
P00959	76255	b2114 JW2101	SUBUNIT: Homodimer. {ECO:0000269|PubMed:11243794}.	SUBCELLULAR LOCATION: Cytoplasm.
P00962	63478	b0680 JW0666	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_00126}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00126}.
P00963	36651	b3744 JW3722	SUBUNIT: Homodimer.	SUBCELLULAR LOCATION: Cytoplasm.
P00968	117842	b0033 JW0031	SUBUNIT: Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4. {ECO:0000255|HAMAP-Rule:MF_01210, ECO:0000269|PubMed:4944634}.	
P02358	15703	b4200 JW4158	SUBUNIT: Part of the 30S ribosomal subunit (PubMed:328274, PubMed:10094780, PubMed:12809609, PubMed:16272117, PubMed:27934701, PubMed:12244297, PubMed:27906160, PubMed:27906161, PubMed:28077875). Interacts weakly with uL2 in one of the 3.5 A resolved structures (PubMed:16272117). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12244297, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:28077875, ECO:0000269|PubMed:328274}.	
P02359	20019	b3341 JW3303	SUBUNIT: Part of the 30S ribosomal subunit (PubMed:385062, PubMed:7556101, PubMed:10094780, PubMed:12809609, PubMed:16272117, PubMed:27934701, PubMed:12244297, PubMed:27906160, PubMed:27906161, PubMed:28077875). Contacts proteins S9 and S11 (By similarity). Cross-links to IF3 and the P and E site tRNAs (PubMed:7000779, PubMed:6349681, PubMed:8524654). {ECO:0000250|UniProtKB:P17291, ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12244297, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:28077875, ECO:0000269|PubMed:385062, ECO:0000269|PubMed:7556101, ECO:0000269|PubMed:8524654, ECO:0000305|PubMed:6349681, ECO:0000305|PubMed:7000779}.	
P02916	57013	b4033 JW3993	SUBUNIT: The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE). Protein stability and stable complex formation require YidC. {ECO:0000269|PubMed:10809785, ECO:0000269|PubMed:18456666, ECO:0000269|PubMed:2026607, ECO:0000269|PubMed:2155217}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:18456666}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:18456666}; Periplasmic side {ECO:0000269|PubMed:18456666}. Note=A substantial portion of it protrudes into the periplasmic space; inserts in an SRP- and Sec-dependent, YidC-independent fashion into the membrane.
P02918	93636	b3396 JW3359		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:7006606}; Single-pass type II membrane protein {ECO:0000255}.
P02919	94293	b0149 JW0145	SUBUNIT: Forms a trimeric complex with MipA and MltA. Has also been shown to exist as monomer or homodimer; homodimer of Alpha and Gamma isozymes can be found. Interacts with UvrA, FtsL and FtsN. {ECO:0000269|PubMed:10037771, ECO:0000269|PubMed:19458048}.	SUBCELLULAR LOCATION: Cell inner membrane; Single-pass type II membrane protein.
P02920	46503	b0343 JW0334	SUBUNIT: Monomer.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:2164211, ECO:0000269|PubMed:7000781, ECO:0000269|PubMed:7028742}; Multi-pass membrane protein {ECO:0000269|PubMed:2164211}.
P02921	52636	b4120 JW4081	SUBUNIT: Monomer and homodimer. {ECO:0000269|PubMed:2185831, ECO:0000269|PubMed:7703254}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:1730719, ECO:0000269|PubMed:7703254, ECO:0000269|PubMed:8672452}; Multi-pass membrane protein {ECO:0000269|PubMed:1730719, ECO:0000269|PubMed:8672452}.
P02925	30950	b3751 JW3730	SUBUNIT: The complex is composed of an ATP-binding protein (RbsA), two transmembrane proteins (RbsC) and a solute-binding protein (RbsB). {ECO:0000269|PubMed:25533465}.	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:1583688}.
P02929	26094	b1252 JW5195	SUBUNIT: Homodimer. Forms a complex with the accessory proteins ExbB and ExbD.	SUBCELLULAR LOCATION: Cell inner membrane; Single-pass membrane protein; Periplasmic side.
P02930	53741	b3035 JW5503	SUBUNIT: Homotrimer. Part of tripartite efflux systems, which are composed of an inner membrane transporter, a periplasmic membrane fusion protein, and an outer membrane component, TolC. The complexes form a large protein conduit and can translocate molecules across both the inner and outer membranes. TolC interacts with the membrane fusion proteins AcrA, EmrA and MacA. {ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:15342230, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:18955484, ECO:0000269|PubMed:19342493, ECO:0000269|PubMed:19805313, ECO:0000269|PubMed:21325274, ECO:0000269|PubMed:9044294}.	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:21778229, ECO:0000269|PubMed:6337123, ECO:0000269|PubMed:9044294}; Multi-pass membrane protein {ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:21778229, ECO:0000269|PubMed:6337123, ECO:0000269|PubMed:9044294}.
P02931	39333	b0929 JW0912	SUBUNIT: Homotrimer (PubMed:2464593, PubMed:16079137, PubMed:9843370, PubMed:18636093). Forms mixed heterotrimers with OmpC and with PhoE; other mixed heterotrimers are also probable (PubMed:2464593). {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:18636093, ECO:0000269|PubMed:2464593, ECO:0000269|PubMed:9843370}.; SUBUNIT: (Microbial infection) Trimeric complexes with colicin E3, BtuB and OmpF can be cross-linked and immunoprecipitated (PubMed:18636093). {ECO:0000269|PubMed:18636093}.	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:2464593}; Multi-pass membrane protein {ECO:0000269|PubMed:16079137}.
P02942	59443	b4355 JW4318		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:22380631}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:22380631}. Note=Found predominantly at cell poles.
P02943	49912	b4036 JW3996	SUBUNIT: Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels (PubMed:1988451, PubMed:16079137, PubMed:7824948, PubMed:8805519, PubMed:9299337). An intrasubunit disulfide bond contributes to trimer stability (PubMed:1988451). {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:1988451, ECO:0000269|PubMed:7824948, ECO:0000269|PubMed:8805519, ECO:0000269|PubMed:9299337}.	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000255|HAMAP-Rule:MF_01301, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:1988451, ECO:0000269|PubMed:4201774, ECO:0000269|Ref.9}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01301, ECO:0000269|PubMed:16079137}.
P03004	52551	b3702 JW3679	SUBUNIT: Some 20 DnaA protein molecules bind their sites in oriC. Forms the RIDA (regulatory inactivation of DnaA) complex with ATP-DnaA, ADP-Hda and the DNA-loaded sliding beta clamp (dnaN). Interacts with DiaA; this stimulates the association of DnaA with the origin of replication. {ECO:0000269|PubMed:17699754, ECO:0000269|PubMed:18977760}.	SUBCELLULAR LOCATION: Cytoplasm.
P03007	27099	b0215 JW0205	SUBUNIT: In a ternary complex this subunit contacts both the beta sliding clamp (dnaN) and the polymerase subunit (dnaE) (PubMed:26499492). The DNA polymerase III holoenzyme complex contains at least 10 different subunits organized into 3 functionally essential subassemblies: the Pol III core, the beta sliding clamp processivity factor and the clamp-loading complex. The Pol III core (subunits alpha, epsilon and theta) contains the polymerase and the 3'-5' exonuclease proofreading activities (PubMed:6340117). The polymerase is tethered to the template via the dimeric beta sliding clamp processivity factor. The clamp loader (also called gamma complex) assembles the beta sliding clamp onto the primed template and plays a central role in the organization and communication at the replication fork. The clamp-loading complex contains delta, delta', psi and chi, and 3 copies of either or both of two different DnaX proteins, gamma and tau. The DNA replisome complex has a single clamp loader (3 tau and 1 each of delta, delta', psi and chi subunits) which binds 3 Pol III cores (1 core on the leading strand and 2 on the lagging strand) each with a beta sliding clamp dimer. Additional proteins in the replisome are other copies of gamma, psi and chi, Ssb, DNA helicase and RNA primase (PubMed:20413500, PubMed:22157955). {ECO:0000269|PubMed:11937058, ECO:0000269|PubMed:20413500, ECO:0000269|PubMed:22157955, ECO:0000269|PubMed:26499492, ECO:0000269|PubMed:6340117}.	
P03018	81990	b3813 JW3786		
P03023	38590	b0345 JW0336	SUBUNIT: Homotetramer.	
P03819	67796	b0047 JW0046	SUBUNIT: Homodimer. Interacts with the regulatory subunit KefF, forming a heterotetramer with 2:2 stoichiometry. Interaction with KefF is required for optimal activity. The active antiporter may be formed by the heterotetramer, or by an octamer. {ECO:0000255|HAMAP-Rule:MF_01413, ECO:0000269|PubMed:17679694, ECO:0000269|PubMed:19523906, ECO:0000269|PubMed:21041667}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01413, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:2046548}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01413, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:2046548}.
P03959	59189	b0698 JW0686	SUBUNIT: The system is composed of three essential subunits: KdpA, KdpB and KdpC (PubMed:2849541, PubMed:9858692, PubMed:28636601, PubMed:30478378). The complex also contains KdpF, a small non-essential subunit (PubMed:10608856, PubMed:28636601, PubMed:30478378). The KdpFABC complex exists as a dimer above concentrations of 30-50 nM, whereas the complex exists as a functional monomer at lower concentrations (PubMed:18298081). {ECO:0000269|PubMed:10608856, ECO:0000269|PubMed:18298081, ECO:0000269|PubMed:2849541, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378, ECO:0000269|PubMed:9858692}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00275, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:2849541, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378, ECO:0000269|PubMed:7896809}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00275, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378, ECO:0000269|PubMed:7896809}.
P03960	72199	b0697 JW0685	SUBUNIT: The system is composed of three essential subunits: KdpA, KdpB and KdpC (PubMed:2849541, PubMed:9858692, PubMed:28636601, PubMed:30478378). The complex also contains KdpF, a small non-essential subunit (PubMed:10608856, PubMed:28636601, PubMed:30478378). The KdpFABC complex exists as a dimer above concentrations of 30-50 nM, whereas the complex exists as a functional monomer at lower concentrations (PubMed:18298081). {ECO:0000269|PubMed:10608856, ECO:0000269|PubMed:18298081, ECO:0000269|PubMed:2849541, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378, ECO:0000269|PubMed:9858692}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00285, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:2849541, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00285, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378}.
P03961	20267	b0696 JW0684	SUBUNIT: The system is composed of three essential subunits: KdpA, KdpB and KdpC (PubMed:2849541, PubMed:9858692, PubMed:28636601, PubMed:30478378). The complex also contains KdpF, a small non-essential subunit (PubMed:10608856, PubMed:28636601, PubMed:30478378). The KdpFABC complex exists as a dimer above concentrations of 30-50 nM, whereas the complex exists as a functional monomer at lower concentrations (PubMed:18298081). {ECO:0000269|PubMed:10608856, ECO:0000269|PubMed:18298081, ECO:0000269|PubMed:2849541, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378, ECO:0000269|PubMed:9858692}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00276, ECO:0000269|PubMed:2849541, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00276, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378}.
P04036	28757	b0031 JW0029	SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_00102, ECO:0000269|PubMed:7893644, ECO:0000269|PubMed:7893645, ECO:0000269|PubMed:8873595, ECO:0000269|PubMed:9398235}.	SUBCELLULAR LOCATION: Cytoplasm.
P04079	58679	b2507 JW2491	SUBUNIT: Homodimer.	
P04152	47680	b1184 JW1173		
P04391	36907	b4254 JW4211	SUBUNIT: In E.coli strain K12, trimer of identical or non-identical chains are composed of ArgI (I) and/or ArgF (F) (PubMed:6369246, PubMed:4558857, PubMed:789338). The trimer has the following composition: FFI, FFF, FII, III (PubMed:6369246, PubMed:4558857, PubMed:789338). E.coli strains B and W, which are known to contain only ArgI, produce only a trimer of identical chains (III). {ECO:0000269|PubMed:10747936, ECO:0000269|PubMed:4558857, ECO:0000269|PubMed:6369246, ECO:0000269|PubMed:789338, ECO:0000269|PubMed:9253409, ECO:0000269|PubMed:9275160}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P04395	31393	b2068 JW2053	SUBUNIT: Monomer.	
P04425	35561	b2947 JW2914	SUBUNIT: Homotetramer.	
P04693	43538	b4054 JW4014	SUBUNIT: Homodimer.	SUBCELLULAR LOCATION: Cytoplasm.
P04737	12768	ECOK12F074	SUBUNIT: Monomer. Interacts with itself to form filaments; also interacts with TraQ. {ECO:0000269|PubMed:10564517, ECO:0000269|PubMed:1464628, ECO:0000269|PubMed:8095257}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:1464628}; Multi-pass membrane protein {ECO:0000269|PubMed:1464628}. Secreted {ECO:0000269|PubMed:1464628}. Note=Propilin is directed to the inner membrane, where it is cleaved and acetylated. Mature pilin forms filaments that are secreted to form the conjugative pilus.
P04805	53816	b2400 JW2395	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_00022, ECO:0000269|PubMed:3015933}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00022}.
P04825	98919	b0932 JW0915		SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein; Cytoplasmic side.
P04968	56195	b3772 JW3745	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:9562556}.	
P04982	15292	b3748 JW5857	SUBUNIT: Homodecamer. {ECO:0000269|PubMed:12738765, ECO:0000269|PubMed:16731978}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P04983	55042	b3749 JW3728	SUBUNIT: The complex is composed of an ATP-binding protein (RbsA), two transmembrane proteins (RbsC) and a solute-binding protein (RbsB). {ECO:0000255|HAMAP-Rule:MF_01716, ECO:0000269|PubMed:25533465}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01716, ECO:0000305|PubMed:25533465}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01716, ECO:0000305|PubMed:25533465}.
P04993	66902	b2819 JW2787	SUBUNIT: Heterotrimer of RecB, RecC and RecD. All subunits contribute to DNA-binding. {ECO:0000255|HAMAP-Rule:MF_01487, ECO:0000269|PubMed:15538360, ECO:0000269|PubMed:1618858, ECO:0000269|PubMed:18668125, ECO:0000269|PubMed:3526335}.; SUBUNIT: (Microbial infection) Lambda virus GamS protein interacts with the enzyme without displacing any of the subunits. {ECO:0000269|PubMed:1653221}.	
P04994	51832	b2509 JW2493	SUBUNIT: Heterooligomer composed of two different subunits with an approximate ratio of 4:1 for small to large subunit (Probable). Also estimated to have a 6:1 ration for small to large subunits (Probable). {ECO:0000305|PubMed:22718974, ECO:0000305|PubMed:6284744}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:6284744}.
P04995	54501	b2011 JW1993	SUBUNIT: Monomer (PubMed:23609540). Interacts with ssb (via C-terminus); this interaction stimulates the exonuclease activity by recruiting the enzyme to its substrate (PubMed:18591666, PubMed:20018747). {ECO:0000269|PubMed:18591666, ECO:0000269|PubMed:20018747, ECO:0000269|PubMed:23609540}.	
P05020	38827	b1062 JW1049	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00219, ECO:0000269|PubMed:11401542, ECO:0000269|PubMed:15826651, ECO:0000269|PubMed:6142052}.	
P05041	50970	b1812 JW1801	SUBUNIT: Monomer. Heterodimer consisting of two non-identical subunits: a glutamine amidotransferase subunit (PabA) and a aminodeoxychorismate synthase subunit (PabB). {ECO:0000269|PubMed:11841211, ECO:0000269|PubMed:8679677}.	
P05042	50489	b1611 JW1603	SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_00743, ECO:0000269|PubMed:12021453, ECO:0000269|PubMed:1917897, ECO:0000269|PubMed:3282546, ECO:0000269|PubMed:8496960, ECO:0000269|PubMed:8909293, ECO:0000269|PubMed:9098893}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00743, ECO:0000305}.
P05050	24076	b2212 JW2200		
P05055	77101	b3164 JW5851	SUBUNIT: Component of the RNA degradosome, which is a multiprotein complex involved in RNA processing and mRNA degradation. Interacts with RNase E (rne). Homotrimer. The homotrimer forms a ring-like structure with a central channel, where RNA molecules can bind. RNA molecules bind between neighboring subunits. Might interact with YicC (PubMed:34210798) (Probable). {ECO:0000255|HAMAP-Rule:MF_01595, ECO:0000269|PubMed:1089072, ECO:0000269|PubMed:15554978, ECO:0000269|PubMed:18337249, ECO:0000269|PubMed:18812438, ECO:0000269|PubMed:19327365, ECO:0000269|PubMed:9732274, ECO:0000305|PubMed:34210798}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01595, ECO:0000269|PubMed:16079137}. Note=Has also been isolated in association with the inner membrane.
P05194	27467	b1693 JW1683	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00214, ECO:0000269|PubMed:2950851}.	
P05458	107708	b2821 JW2789	SUBUNIT: Monomer.	SUBCELLULAR LOCATION: Periplasm.
P05523	30290	b3635 JW3610	SUBUNIT: Monomer. {ECO:0000269|PubMed:11912217, ECO:0000269|PubMed:1689309}.	
P05637	31297	b0049 JW0048	SUBUNIT: Monomer. {ECO:0000269|PubMed:6317672}.	
P05704	58899	b1421 JW1417		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:22380631}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:22380631}. Note=Found predominantly at cell poles.
P05791	65532	b3771 JW5605	SUBUNIT: Homodimer. {ECO:0000269|PubMed:8325851}.	
P05793	54069	b3774 JW3747	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:16322583, ECO:0000269|PubMed:23036858}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:2653423}.
P05804	68447	b1617 JW1609	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:21051639, ECO:0000269|PubMed:3105604}.	
P05824	61396	b2616 JW5416		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21219465}. Note=In 70% of cell localizes to discrete nucleoid foci (probable DNA damage sites) upon treatment with mitomycin C (MMC) for 2 hours.
P05825	82107	b0584 JW5086		SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000255|PROSITE-ProRule:PRU01360}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU01360}.
